duplicate_group_id,referenceID,longitude,latitude,transaction_type,price,property_type,property_subtype,seller_id,postal_code,date_of_construction,property_condition,livable_surface,number_of_bedrooms,number_of_bathrooms,elevator,terrace,furnished,availability,province,street,street_number,garage,land_surface,energy_consumption,garden,balcony,swimming_pool,og_row_number,decision
68,vbe35909,4.3987892,50.8389106,Sale,945000,Appartment,Penthouse,33355,1040,1912.0,New,198.0,3.0,1.0,True,18.0,False,,Brussels,Avenue de Tervueren,13.0,,,,,True,,4171,
68,vbe33690,4.3987892,50.8389106,Sale,945000,Appartment,Penthouse,43156,1040,,Fully renovated,198.0,3.0,3.0,True,42.0,False,On contract,Brussels,Avenue de Tervueren,13.0,35.0,,,,,,4510,
69,rbv80988,4.4664938,51.0298169,Sale,206000,House,House,42734,2800,1874.0,To be renovated,92.0,3.0,1.0,,,,On contract,Antwerp,Battelsesteenweg,123.0,,70.0,,26.0,,,14016,
69,rbv80983,4.4664938,51.0298169,Sale,206000,House,House,42734,2800,1874.0,To be renovated,92.0,3.0,1.0,,,,On contract,Antwerp,Battelsesteenweg,123.0,,70.0,,26.0,,,14024,
70,vbe18370,4.4804728,50.3013768,Sale,308000,House,House,43302,5651,1972.0,To renovate,129.0,4.0,1.0,False,,,On contract,Namur,Rue Les Acacias,19.0,,364.0,49780.0,197.0,,False,7474,
70,vbe18539,4.4804728,50.3013768,Sale,308000,House,House,43302,5651,1972.0,To renovate,129.0,4.0,1.0,False,,,On contract,Namur,Rue Les Acacias,19.0,,364.0,49780.0,197.0,,False,7464,
71,vbe21737,4.4873889,50.7298348,Sale,785000,House,House,42478,1310,2027.0,New,200.0,4.0,3.0,False,,False,,Brabant wallon,Rue de la Grotte,32.0,1.0,451.0,,,,False,9126,
71,vbe28955,4.4873889,50.7298348,Sale,785000,House,House,46347,1310,2028.0,,200.0,4.0,2.0,False,,False,,Brabant wallon,Rue de la Grotte,32.0,1.0,987.0,,,,,8971,
71,vbe21738,4.4873889,50.7298348,Sale,785000,House,House,42478,1310,2027.0,New,200.0,4.0,2.0,False,,False,,Brabant wallon,Rue de la Grotte,32.0,1.0,462.0,,,,False,9128,
72,vbe27985,4.4873889,50.7298348,Sale,895000,House,House,42478,1310,2027.0,New,220.0,4.0,2.0,False,,False,,Brabant wallon,Rue de la Grotte,32.0,1.0,1033.0,,,,False,9007,
72,vbe28676,4.4873889,50.7298348,Sale,895000,House,House,46347,1310,2028.0,,220.0,4.0,2.0,False,,False,,Brabant wallon,Rue de la Grotte,32.0,1.0,959.0,,,,,8978,
73,vbe26313,4.50024643,50.39217925,Sale,359900,House,Villa,45357,6200,1974.0,Normal,166.0,3.0,2.0,False,,False,,Hainaut,Rue de la Blanche Borne,15.0,1.0,765.0,,,,,8324,
73,vbd98373,4.50024643,50.39217925,Sale,359900,House,Villa,45357,6200,1974.0,Normal,166.0,3.0,2.0,False,,False,,Hainaut,Rue de la BLANCHE Borne,15.0,1.0,765.0,,,,,8321,
73,vbe26311,4.50024643,50.39217925,Sale,359900,House,Villa,45357,6200,1974.0,Normal,166.0,3.0,2.0,False,,False,,Hainaut,Rue de la Blanche Borne,15.0,1.0,765.0,,,,,8325,
74,rbv88167,4.50545,50.97708,Sale,515000,House,House,30823,1982,,New,175.0,4.0,1.0,False,,False,Immediately,Vlaams brabant,Tervuursesteenweg,401.0,,,,,False,,6205,
74,rbu82602,4.50545,50.97708,Sale,515000,House,House,30823,1982,,New,175.0,4.0,1.0,False,,False,Immediately,Vlaams brabant,Tervuursesteenweg,401.0,,,,,False,,6240,
74,rbw25517,4.50545,50.97708,Sale,515000,House,House,30823,1982,,New,175.0,3.0,1.0,False,,False,Immediately,Vlaams brabant,Tervuursesteenweg,401.0,,,,200.0,False,,5849,
75,vbe29434,4.5306325,50.7109736,Sale,1270000,House,Villa,38563,1330,1965.0,Normal,320.0,4.0,3.0,False,,False,On contract,Brabant wallon,,,1.0,1826.0,,,,True,8961,
75,vbe29260,4.5306325,50.7109736,Sale,1270000,House,Villa,47327,1330,1965.0,Excellent,320.0,4.0,3.0,False,22.0,True,On contract,Brabant wallon,,,1.0,1825.0,,1200.0,,True,8962,
76,vbe28276,4.5430358,50.1958462,Sale,225000,Appartment,Flat,43738,5600,2025.0,New,116.0,2.0,1.0,True,8.0,False,On contract,Namur,,,,,,,,,7188,
76,vbe28277,4.5430358,50.1958462,Sale,225000,Appartment,Flat,43738,5600,2025.0,New,116.0,2.0,1.0,False,8.0,False,On contract,Namur,,,,,,,,,7191,
77,rbw18375,4.55261972,50.90231105,Sale,592500,House,House,33800,3070,2024.0,New,195.0,4.0,2.0,False,15.0,False,On contract,Vlaams brabant,Frans Mombaersstraat,13.0,1.0,264.0,,264.0,,,6043,
77,rbw18374,4.55261972,50.90231105,Sale,592500,House,House,33800,3070,2024.0,New,195.0,4.0,2.0,False,15.0,False,On contract,Vlaams brabant,Frans Mombaersstraat,13.0,1.0,263.0,,263.0,,,6046,
78,rbw17430,4.567272,50.9794567,Sale,620000,House,House,45755,3190,2001.0,,259.0,3.0,1.0,,,,,Vlaams brabant,Audenhovenlaan,37.0,1.0,893.0,,,,,6077,
78,rbw17429,4.567272,50.9794567,Sale,620000,House,House,45755,3190,2001.0,,259.0,6.0,1.0,,,,,Vlaams brabant,Audenhovenlaan,37.0,1.0,893.0,,,,,6088,
79,vbe20665,4.6972809,50.7385816,Sale,1300000,House,House,40237,1390,1990.0,Normal,365.0,4.0,4.0,False,175.0,False,On contract,Brabant wallon,,,2.0,6777.0,123643.0,,,False,9166,
79,vbe20663,4.6972809,50.7385816,Sale,1300000,House,House,40237,1390,1990.0,Normal,365.0,4.0,4.0,False,175.0,False,On contract,Brabant wallon,,,2.0,6777.0,123643.0,,,False,9171,
80,vbe06029,4.6974747,50.4671846,Sale,358000,House,House,0,5190,,,222.0,3.0,2.0,,,,,Namur,,,,500.0,50.0,391.0,,,7004,
80,vbe03202,4.6974747,50.4671846,Sale,358000,House,House,27536,5190,,,222.0,3.0,2.0,,,,,Namur,,,1.0,500.0,,,,,7000,
81,rbw03404,4.7187693,50.9884189,Sale,0,House,House,30482,3120,,New,,,,,,,,Vlaams brabant,Veldonkstraat,120.0,,,,,,,6522,
81,rbw03405,4.7187693,50.9884189,Sale,0,House,House,30482,3120,,New,,,,,,,,Vlaams brabant,Veldonkstraat,120.0,,,,,,,6523,
82,rbw03411,4.7187693,50.9884189,Sale,459000,House,House,30482,3120,,New,154.0,3.0,,,,,,Vlaams brabant,Veldonkstraat,120.0,,500.0,,,,,6520,
82,rbw03413,4.7187693,50.9884189,Sale,459000,House,House,30482,3120,,New,154.0,3.0,,,,,,Vlaams brabant,Veldonkstraat,120.0,,499.0,,,,,6521,
83,vbe36252,4.7510797,50.4801349,Sale,295000,Appartment,Flat,43169,5020,2026.0,New,97.0,2.0,1.0,,,,,Namur,des Rys Temploux,,,,,,,,6751,
83,vbe36251,4.7510797,50.4801349,Sale,295000,Appartment,Flat,43169,5020,2026.0,New,97.0,2.0,1.0,,,,,Namur,des Rys Temploux,,,,,,,,6768,
84,vbe09911,4.8554963,50.7238098,Sale,316000,House,House,40378,1370,,New,,3.0,1.0,,,,,Brabant wallon,Rue Des Alisiers IN DEMAND Jodoigne,,,143.0,,,,,9394,
84,vbe09913,4.8554963,50.7238098,Sale,316000,House,House,40378,1370,,New,,3.0,1.0,,,,,Brabant wallon,Rue Des Alisiers IN DEMAND Jodoigne,,,141.0,,,,,9396,
85,vbe31023,4.8718068,50.4674593,Sale,345000,Appartment,Flat,38100,5000,2026.0,,104.0,3.0,3.0,True,11.0,,On contract,Namur,,,1.0,,,,,,7089,
85,vbe23062,4.8718068,50.4674593,Sale,345000,Appartment,Flat,42987,5000,2025.0,New,104.0,3.0,3.0,True,11.0,,,Namur,,,1.0,,,,,False,6956,
86,vbe14201,4.89233,50.23319,Sale,330000,House,House,42790,5500,,New,238.0,4.0,1.0,False,14.0,False,Immediately,Namur,Rue de la Montagne,3.0,,,,,False,,7561,
86,vbe14203,4.89233,50.23319,Sale,330000,House,House,42790,5500,,New,238.0,4.0,1.0,False,14.0,False,Immediately,Namur,Rue de la Montagne,3.0,,,,,False,,7564,
87,rwc42804,4.905329,50.5470867,Sale,435000,House,House,0,5310,,Excellent,157.0,3.0,,,,,On contract,Namur,rue des Mésanges,9.0,,708.0,,,,,6791,
87,rwc42803,4.905329,50.5470867,Sale,435000,House,House,0,5310,2026.0,Excellent,157.0,3.0,,False,,,On contract,Namur,rue des Mésanges,9.0,,,,734.0,,,6794,
88,rbw24098,4.953304,51.32402,Sale,192000,Appartment,Flat,40407,2300,2024.0,New,59.0,1.0,1.0,True,6.0,False,Immediately,Antwerp,Dessauerplein,1.0,,,,,,,13364,
88,rbw24099,4.953304,51.32402,Sale,192000,Appartment,Flat,40407,2300,2024.0,New,59.0,1.0,1.0,True,6.0,False,Immediately,Antwerp,Dessauerplein,1.0,,,,,,,13373,
89,rbw24104,4.953304,51.32402,Sale,197000,Appartment,Flat,40407,2300,2024.0,New,59.0,1.0,1.0,True,6.0,False,Immediately,Antwerp,Dessauerplein,1.0,,,,,,,13367,
89,rbw24105,4.953304,51.32402,Sale,197000,Appartment,Flat,40407,2300,2024.0,New,59.0,1.0,1.0,True,6.0,False,Immediately,Antwerp,Dessauerplein,1.0,,,,,,,13366,
