duplicate_group_id,referenceID,longitude,latitude,transaction_type,price,property_type,property_subtype,seller_id,postal_code,date_of_construction,property_condition,livable_surface,number_of_bedrooms,number_of_bathrooms,elevator,terrace,furnished,availability,province,street,street_number,garage,land_surface,energy_consumption,garden,balcony,swimming_pool,og_row_number,decision
11,rbw20677,4.3333333,50.8,Rent,3200,House,House,48985,1180,1986.0,Excellent,227.0,4.0,,,95.0,,Immediately,Brussels,,,1.0,,,,,,296,
12,vbe34592,4.3333333,50.8,Rent,4000,House,House,39905,1180,1930.0,Fully renovated,261.0,5.0,3.0,False,15.0,False,,Brussels,,,2.0,228.0,21593.0,100.0,,,353,
12,vbe35765,4.3333333,50.8,Rent,4000,House,House,43157,1180,1930.0,Normal,261.0,5.0,3.0,False,15.0,False,,Brussels,,,1.0,215.0,21593.0,100.0,,,193,
13,vbe33477,4.3402184,50.8301436,Rent,3700,Appartment,Penthouse,43099,1060,,Normal,180.0,3.0,2.0,True,50.0,False,,Brussels,,,1.0,,,,,,474,
13,vbe34061,4.3402184,50.8301436,Rent,3700,Appartment,Penthouse,33267,1060,,Normal,180.0,3.0,1.0,True,50.0,,From 31/07/2026,Brussels,,,,,,,,,400,
14,vbe29930,4.3458451,50.8423041,Rent,1100,Appartment,Flat,46472,1000,,,,,,,,True,From 01/09/2026,Brussels,Place Rouppe Brussels,,,,,,False,,932,
14,vbe36727,4.3458451,50.8423041,Rent,1100,Appartment,Flat,46472,1000,,,,,,,,True,From 16/09/2026,Brussels,Place Rouppe Brussels,,,,,,False,,49,
15,vbe32085,4.346871,50.854176,Rent,1250,Appartment,GroundFloor,46612,1000,,Fully renovated,29.0,1.0,,,,True,,Brussels,"Quai à la Houille,",10.0,,,,,,,609,
15,vbe32084,4.346871,50.854176,Rent,1250,Appartment,GroundFloor,46612,1000,,Fully renovated,29.0,1.0,,,,True,,Brussels,"Quai à la Houille,",10.0,,,,,,,606,
16,vbe00243,4.3470949,50.8497606,Rent,2250,Appartment,Flat,46472,1000,,,,,,,,True,From 02/08/2026,Brussels,Rue Antoine Dansaert Brussels,,,,,,False,,727,
16,vbe00820,4.3470949,50.8497606,Rent,2250,Appartment,Flat,46472,1000,,,,,,,,True,From 12/06/2026,Brussels,Rue Antoine Dansaert Brussels,,,,,,False,,730,
17,rbw02203,4.3471153,50.8462619,Rent,1400,Appartment,Flat,49251,1000,,,30.0,,,,,,,Brussels,Boulevard Anspach Brussels,,,,,,False,,602,
