referenceID,longitude,latitude,transaction_type,price,property_type,property_subtype,seller_id,postal_code,date_of_construction,property_condition,livable_surface,number_of_bedrooms,number_of_bathrooms,elevator,terrace,furnished,availability,province,street,street_number,garage,land_surface,energy_consumption,garden,balcony,swimming_pool,og_row_number
vbe36434,3.3439836,50.7043825,Sale,220000,House,House,38349,7740,,To be renovated,,4.0,1.0,False,,False,,Hainaut,,,,890.0,,,,,7799
vbe36334,4.4395909,50.4188087,Sale,189000,House,MixedBuilding,28457,6020,,Normal,,2.0,2.0,False,,False,,Hainaut,chaussée de Bruxelles,166.0,1.0,,19304.0,,,,7800
vbe36394,3.40258,50.6110195,Sale,249000,House,House,40040,7500,,Excellent,107.0,2.0,1.0,False,,False,Negotiable,Hainaut,Paul Pastur,21.0,1.0,410.0,,200.0,,,7801
vbe36433,3.3880367,50.6056059,Sale,175000,Appartment,Flat,38349,7500,,,69.0,1.0,,False,,False,,Hainaut,,,,,,,,,7802
vbe36437,3.6241539,50.5971918,Sale,139000,House,House,38349,7900,,,150.0,2.0,,False,,False,,Hainaut,,,,700.0,,,,,7803
vbe36427,3.23197779,50.74796437,Sale,209000,House,House,40656,7700,,,139.0,2.0,1.0,False,,False,,Hainaut,Rue Saint-Achaire,31.0,10.0,559.0,,,,,7804
vbe36436,3.3880367,50.6056059,Sale,119000,House,House,38349,7500,,To be renovated,,2.0,,False,,False,,Hainaut,,,,38.0,,,,,7805
vbe36201,4.5200447,50.4445253,Sale,195000,House,House,27290,6220,,Normal,75.0,2.0,,False,20.0,False,On contract,Hainaut,Rue du Vieux Saule,59.0,,223.0,,102.0,,,7806
vbe36262,3.3880367,50.6056059,Sale,73500,Appartment,Flat,38437,7500,,,47.0,1.0,1.0,False,,False,On contract,Hainaut,,,,,12467.0,,False,,7807
vbe36200,4.4324017,50.4174416,Sale,30000,House,House,43302,6030,1920.0,Normal,198.0,3.0,3.0,False,,,,Hainaut,Rue Arthur Decoux,8.0,,70.0,49317.0,,,,7808
vbe36322,50.4048263,3.8383261,Sale,170000,House,House,33493,7340,,To renovate,165.0,4.0,1.0,False,,False,On contract,Hainaut,,,,290.0,53851.0,,,True,7809
vbe36269,4.1691995,50.0243258,Sale,235000,House,Villa,0,6590,,Excellent,,4.0,1.0,,,,On contract,Hainaut,Rue Trieux Wairies,11.0,,,,,,,7810
vbe36292,4.4292815,50.4615274,Sale,175000,House,House,0,6041,1875.0,Excellent,152.0,3.0,1.0,,,,Negotiable,Hainaut,Faubourg de Charleroi,50.0,,163.0,,,,,7811
vbe36276,4.3366266,50.2933201,Sale,140000,House,House,0,6536,,,,3.0,,,,,On contract,Hainaut,Rue des Soldats,19.0,,,,,,,7812
vbe36192,4.4062183,50.5439292,Sale,495000,House,Villa,44256,6210,1992.0,Excellent,145.0,4.0,1.0,False,72.0,,On contract,Hainaut,Rue de Bruxelles,78.0,2.0,1079.0,,500.0,,,7813
vbe36259,4.2132575,50.4718338,Sale,149900,House,House,39208,7100,,To renovate,176.0,2.0,1.0,False,,True,Immediately,Hainaut,Rue des Ecoles,8.0,,,76050.0,,,,7814
vbe36299,3.3880367,50.6056059,Sale,935000,Appartment,GroundFloor,46633,7500,2007.0,Normal,245.0,3.0,2.0,,14.0,,,Hainaut,,,,,,300.0,,,7815
vbe36255,3.2326156,50.722568,Sale,159000,House,House,33262,7712,,To renovate,88.0,3.0,1.0,False,,False,On contract,Hainaut,,,,235.0,43611.0,110.0,False,,7816
vbe36194,4.3922304,50.4115866,Sale,169999,House,House,39432,6031,1900.0,Normal,127.0,3.0,1.0,False,,False,,Hainaut,Rue Saint-Fiacre,22.0,,,23865.0,,,,7817
vbe36286,4.0418874,50.6947227,Sale,1795000,House,House,46440,7850,2006.0,Excellent,700.0,5.0,5.0,False,,,,Hainaut,,,1.0,4731.0,87387.0,2200.0,,True,7818
vbe36120,3.888853,50.4496841,Sale,135000,House,House,43937,7012,1918.0,To be renovated,160.0,2.0,,,,,,Hainaut,Avenue G?n?ral Leman,71.0,,392.0,,,,,7819
vbe36248,4.1310207,50.5934885,Sale,280000,House,House,0,7090,,,,2.0,,,,,On contract,Hainaut,Chaussée d'Ecaussinnes,191.0,,,,,,,7820
